TimeWindow, Flight, RiskCategory, O57, O58, O59, O60, O61, O62, O63, O64
240, Flight63, LOWRISK4, 0.999999999776547, 5.226199286232741E-11, 5.2257601240271896E-11, 3.29172093350694E-11, 1.8528698535400233E-11, 3.292001734607795E-11, 1.852960673230438E-11, 1.8528124244655144E-11
240, Flight64, SELECTEE, 0.006583603585690577, 0.015973664967248457, 0.0, 0.04199664525316446, 0.882469508900638, 0.019222257912775962, 0.033754319382349934, 0.0
240, Flight64, UNKNOWN, 0.8333333333323912, 0.094495534832561, 0.07217113180514405, 1.095187692357126E-11, 3.4968022010732267E-12, 1.0951855892447471E-11, 3.4967969036759188E-12, 3.4965828824629217E-12
240, Flight64, LOWRISK1, 0.554956061254733, 0.2758714443719839, 0.16917249433121528, 1.5065644459433E-11, 4.809080304998391E-12, 1.506533872803862E-11, 4.809045203567091E-12, 4.808771313165133E-12
240, Flight64, LOWRISK2, 0.4999999999903394, 0.29322566761730745, 0.2067743323235561, 2.4102975128756215E-11, 7.694308968857008E-12, 2.410198412547874E-11, 7.694198575024319E-12, 7.693817313530388E-12
240, Flight64, LOWRISK3, 0.5000000000339969, 0.25923843927532797, 0.24076156033737753, 1.2024956267110457E-10, 3.843611462581818E-11, 1.2023381416277733E-10, 3.843428126001394E-11, 3.843393134319943E-11
240, Flight64, LOWRISK4, 0.9999999998892907, 2.6200656571655052E-11, 2.6198150207576188E-11, 1.6488497880612927E-11, 9.274552634096442E-12, 1.6488742571966924E-11, 9.274629663558892E-12, 9.274244753972348E-12
240, Flight65, SELECTEE, 4.6779954680103495E-12, 5.99102079310418E-10, 5.982793790603607E-10, 0.5150803649307234, 0.11574281841572341, 0.18491963416706736, 0.0800607736602301, 0.10419640762668655
240, Flight65, UNKNOWN, 0.9999999999979099, 1.0951165517228025E-12, 1.0950098114890153E-12, 6.580548932378502E-13, 3.5801476020025743E-13, 6.580539938779557E-13, 3.5801444299311045E-13, 3.5800298629048483E-13
240, Flight65, LOWRISK1, 0.999999999983386, 4.4423619573463174E-12, 4.4419785281613466E-12, 2.777616709797355E-12, 1.5548958204794412E-12, 2.7776226817124325E-12, 1.5548972742945393E-12, 1.5548469480114585E-12
240, Flight65, LOWRISK2, 0.999999999945778, 1.3136675485551626E-11, 1.313550327927091E-11, 8.258102490225537E-12, 4.64127687659514E-12, 8.2581694056187E-12, 4.6412976070091325E-12, 4.641128486314297E-12
240, Flight65, LOWRISK3, 0.1708894275476053, 0.18321767355383245, 0.0, 0.15331092162823245, 0.16871525603680573, 0.1626815816906386, 0.16118513954475305, 0.0
240, Flight65, LOWRISK4, 0.9999999998893648, 2.6179198721303297E-11, 2.6176914440841907E-11, 1.6478472323831375E-11, 9.270568692442397E-12, 1.6479002831736772E-11, 9.27073780829707E-12, 9.270275881916499E-12
240, Flight66, SELECTEE, 6.9776408903352805E-12, 9.3098111180961E-10, 9.34591946626423E-10, 0.13516660390338514, 0.43648293468538907, 0.0315000604255828, 0.03948886488228292, 0.3573615342332995
240, Flight66, UNKNOWN, 0.8333333333304606, 0.1134496847921548, 0.05321698186968902, 3.4440740983361357E-12, 1.0992760248047394E-12, 3.4440492277921264E-12, 1.0992728937076992E-12, 1.0992046942046647E-12
240, Flight66, LOWRISK1, 0.5549560612534408, 0.2949229317672336, 0.15012100695210695, 1.0045178503212835E-11, 3.206235521666238E-12, 1.0045007813940073E-11, 3.206216080753083E-12, 3.2060277547364428E-12
240, Flight66, LOWRISK2, 0.49999999999446787, 0.2770841190420724, 0.22291588084717268, 4.0157335826927547E-11, 1.2822013962320712E-11, 4.015495026793533E-11, 1.2821745271438727E-11, 1.2821211691165444E-11
240, Flight66, LOWRISK3, 0.5000000000186041, 0.26716560772192033, 0.23283439208386827, 6.020801433276928E-11, 1.9229311012455066E-11, 6.02032036631983E-11, 1.92287668443548E-11, 1.922813869350801E-11
240, Flight66, LOWRISK4, 0.9999999998892907, 2.6200656571655052E-11, 2.6198150207576188E-11, 1.6488497880612927E-11, 9.274552634096442E-12, 1.6488742571966924E-11, 9.274629663558892E-12, 9.274244753972348E-12
240, Flight67, SELECTEE, 0.04555381173623494, 0.09965258153724307, 0.0, 0.17031051146647114, 0.41897784655916004, 0.10860875062525635, 0.15689649807750206, 0.0
240, Flight67, UNKNOWN, 0.9999999999796287, 5.310659244893382E-12, 5.310206633741663E-12, 3.325214374225414E-12, 1.8633809966069373E-12, 3.3252317635632613E-12, 1.8633859735310204E-12, 1.8633227338256013E-12
240, Flight67, LOWRISK1, 0.9999999999739903, 6.613972134700138E-12, 6.613401123520495E-12, 4.146964691714627E-12, 2.3262299014138542E-12, 4.146987939075678E-12, 2.326236752483036E-12, 2.326156757535632E-12
